LINK_ID,F_NODE,T_NODE,ROAD_NAME,ROAD_NO,ROAD_RANK,ROAD_TYPE,LANES,MAX_SPD,LENGTH,UPDATEDATE,geometry_length_m,seongnam_overlap_m,seongnam_overlap_ratio,seongnam_position,inside_seongnam
2040001005,2040001401,2040001503,청계산로,-,107,000,1,50,90.187680470456,20250512,90.1876804704558,90.1876804704558,1.0,inside,True
2040001006,2040001503,2040001502,청계산로,-,107,000,1,50,29.273725116826,20250512,29.273725116826018,29.273725116826018,1.0,inside,True
2040001007,2049193400,2040001301,청계산로,-,107,000,1,50,183.689275984628,20250512,183.68927598462773,183.68927598462773,1.0,inside,True
2040001100,2040000904,2040001001,청계산로,-,107,000,1,50,41.77113281541,20250512,41.77113281540969,41.77113281540969,1.0,inside,True
2040001200,2040001002,2040000903,청계산로,-,107,000,1,50,45.850620173443,20250512,45.85062017344302,45.33987038738755,0.9888605697344243,boundary_crossing,True
2040001201,2040000903,2040000902,청계산로,-,107,000,1,50,12.384058937461,20250512,12.384058937460797,12.384058937460797,1.0,inside,True
2040001300,2040001102,2049192700,청계산로,-,107,000,1,50,21.605653590232,20250512,21.605653590232194,21.605653590232194,1.0,inside,True
2040001301,2040000901,2040000904,청계산로,-,107,000,1,50,10.115477552154,20250512,10.115477552154228,10.115477552154228,1.0,inside,True
2040001302,2049191000,2040000901,청계산로,-,107,000,1,50,36.556071679807,20250512,36.556071679806685,36.556071679806685,1.0,inside,True
2040001303,2049192700,2049191000,청계산로,-,107,000,1,50,84.31469792087,20250512,84.31469792087009,84.31469792087009,1.0,inside,True
2040001400,2040000902,2040001101,청계산로,-,107,000,1,50,141.105291934008,20250512,141.10529193400842,141.10529193400842,1.0,inside,True
2040001500,2040000506,2049193700,청계산로,-,107,000,1,50,358.403862066354,20250512,358.40386206635435,358.40386206635435,1.0,inside,True
2040001501,2040001701,2040001704,청계산로,-,107,000,1,50,12.175044069017,20250512,12.175044069016625,12.175044069016625,1.0,inside,True
2040001502,2040000506,2040000505,청계산로,-,107,000,1,30,12.253255551714,20250512,12.253255551714105,12.253255551714105,1.0,inside,True
2040001503,2049193700,2040001701,청계산로,-,107,000,1,50,378.058301324054,20250512,378.0583013240537,378.0583013240537,1.0,inside,True
2040001600,2040001702,2049193600,청계산로,-,107,000,1,50,365.550059843709,20250512,365.5500598437086,365.5500598437086,1.0,inside,True
2040001601,2040000505,2040000504,청계산로,-,107,000,1,30,28.934071427626,20250512,28.934071427626392,28.934071427626392,1.0,inside,True
2040001602,2049193600,2040000505,청계산로,-,107,000,1,50,365.550059843674,20250512,365.5500598436742,365.5500598436742,1.0,inside,True
2040001700,2040001704,2040001501,청계산로,-,107,000,1,50,298.942658719969,20250512,298.94265871996856,298.94265871996856,1.0,inside,True
2040001701,2040001501,2040001504,청계산로,-,107,000,1,50,30.125205052338,20250512,30.1252050523381,30.1252050523381,1.0,inside,True
2040001800,2040001502,2049192900,청계산로,-,107,000,1,50,23.137400508659,20250512,23.137400508658953,23.137400508658953,1.0,inside,True
2040001801,2040001703,2040001702,청계산로,-,107,000,1,50,10.711582582119,20250512,10.71158258211881,10.71158258211881,1.0,inside,True
2040001802,2049192900,2040001703,청계산로,-,107,000,1,50,267.163148141998,20250512,267.1631481419984,267.1631481419984,1.0,inside,True
2040001901,2040002003,2049182200,성남대로,3,103,000,5,60,330.240630998932,20250512,330.2406309989318,330.2406309989318,1.0,inside,True
2040001902,2040001604,2040001603,성남대로,3,103,000,5,60,25.218648451923,20250512,25.21864845192287,25.21864845192287,1.0,inside,True
2040001903,2049182200,2040001604,성남대로,3,103,000,5,60,330.240630998903,20250512,330.2406309989034,330.2406309989034,1.0,inside,True
2040002001,2040001601,2049182300,성남대로,3,103,000,5,60,328.33144661789,20250512,328.3314466178904,328.3314466178904,1.0,inside,True
2040002002,2040002002,2040002001,성남대로,3,103,000,5,60,12.288216076203,20250512,12.288216076203367,12.288216076203367,1.0,inside,True
2040002003,2049182300,2040002002,성남대로,3,103,000,5,60,333.646241382903,20250512,333.6462413829029,333.6462413829029,1.0,inside,True
2040002301,2040002203,2040002004,성남대로,3,103,000,5,60,463.055690640242,20250512,463.05569064024235,463.05569064024235,1.0,inside,True
2040002302,2040002004,2040002003,성남대로,3,103,000,5,60,12.62226748441,20250512,12.622267484410411,12.622267484410411,1.0,inside,True
2040002401,2040002001,2040002202,성남대로,3,103,000,5,60,459.081268997733,20250512,459.08126899773276,459.08126899773276,1.0,inside,True
2040002402,2040002202,2040002201,성남대로,3,103,000,5,60,12.616965643939,20250512,12.616965643938544,12.616965643938544,1.0,inside,True
2040002701,2040002605,2040002204,성남대로,3,103,000,5,60,431.532109511246,20250512,431.5321095112457,431.5321095112457,1.0,inside,True
2040002702,2040002204,2040002203,성남대로,3,103,000,5,60,12.61544807787,20250512,12.615448077870015,12.615448077870015,1.0,inside,True
2040002801,2040002201,2040002604,성남대로,3,103,000,5,60,431.271703785043,20250512,431.2717037850435,431.2717037850435,1.0,inside,True
2040002802,2040002604,2040002603,성남대로,3,103,000,5,60,12.004041687719,20250512,12.004041687718997,12.004041687718997,1.0,inside,True
2040003701,2040001902,2049001400,수도권제1순환고속도로,100,101,000,4,100,431.408265291677,20250512,431.4082652916773,431.4082652916773,1.0,inside,True
2040003702,2049001200,2049188600,수도권제1순환고속도로,100,101,000,4,100,502.116162029171,20250512,502.11616202917116,502.11616202917116,1.0,inside,True
2040003703,2049001400,2049001200,수도권제1순환고속도로,100,101,003,4,100,93.007798249819,20250512,93.00779824981925,93.00779824981925,1.0,inside,True
2040003704,2049003500,2049003700,수도권제1순환고속도로,100,101,003,4,100,39.88931292138,20250512,39.889312921380125,39.889312921380125,1.0,inside,True
2040003705,2049003700,2049188800,수도권제1순환고속도로,100,101,000,4,100,751.9701959673,20250512,751.9701959672998,751.9701959672998,1.0,inside,True
2040003706,2049196600,1230198300,수도권제1순환고속도로,100,101,003,4,100,117.814774238428,20250512,117.81477423842836,49.553759259989995,0.4206073438608411,boundary_crossing,True
2040003708,2049188600,2049003500,수도권제1순환고속도로,100,101,000,4,100,502.11616202913,20250512,502.11616202913,502.11616202913,1.0,inside,True
2040003709,2049188800,2049189000,수도권제1순환고속도로,100,101,000,4,100,751.970195967411,20250512,751.9701959674106,751.9701959674106,1.0,inside,True
2040003710,2049189000,2049196600,수도권제1순환고속도로,100,101,000,4,100,751.970195967301,20250512,751.9701959673015,751.9701959673015,1.0,inside,True
2040003802,2049001100,2049001300,수도권제1순환고속도로,100,101,003,4,100,93.582377208243,20250512,93.582377208243,93.582377208243,1.0,inside,True
2040003803,2049001300,2040001903,수도권제1순환고속도로,100,101,000,4,100,433.264502360295,20250512,433.26450236029524,433.26450236029524,1.0,inside,True
2040003804,2049003600,2049188700,수도권제1순환고속도로,100,101,000,4,100,499.509738019971,20250512,499.50973801997134,499.50973801997134,1.0,inside,True
2040003805,2049003800,2049003600,수도권제1순환고속도로,100,101,003,4,100,39.889298738518,20250512,39.88929873851802,39.88929873851802,1.0,inside,True
2040003806,2049196700,2049189100,수도권제1순환고속도로,100,101,000,4,100,750.236794613012,20250512,750.2367946130119,655.7855641897302,0.874104774517222,boundary_crossing,True
2040003807,1230198400,2049196700,수도권제1순환고속도로,100,101,003,4,100,119.899423064462,20250512,119.8994230644624,49.31726085265412,0.41132191959038306,boundary_crossing,True
2040003808,2049188700,2049001100,수도권제1순환고속도로,100,101,000,4,100,505.167337873865,20250512,505.16733787386545,505.16733787386545,1.0,inside,True
2040003809,2049188900,2049003800,수도권제1순환고속도로,100,101,000,4,100,749.346914009847,20250512,749.3469140098471,749.3469140098471,1.0,inside,True
2040003810,2049189100,2049188900,수도권제1순환고속도로,100,101,000,4,100,754.322129672125,20250512,754.3221296721255,754.3221296721255,1.0,inside,True
2040003901,2040002613,2049180700,성남대로,3,103,000,5,60,333.963671121767,20250512,333.96367112176665,333.96367112176665,1.0,inside,True
2040003902,2040002609,2040002614,성남대로,3,103,000,5,60,226.300945838505,20250512,226.30094583850536,226.30094583850536,1.0,inside,True
2040003903,2040003010,2040002610,성남대로,3,103,000,5,60,380.719474270017,20250512,380.71947427001743,380.71947427001743,1.0,inside,True
2040003905,2040003014,2049201000,성남대로,3,103,000,5,60,320.31094009062,20250512,320.3109400906195,320.3109400906195,1.0,inside,True
2040003906,2040003006,2040003015,성남대로,3,103,000,5,60,205.547623983582,20250512,205.54762398358199,205.54762398358199,1.0,inside,True
2040003907,2040002606,2040002605,성남대로,3,103,000,5,60,12.298061253161,20250512,12.298061253160503,12.298061253160503,1.0,inside,True
2040003908,2040003011,2040003010,성남대로,3,103,000,5,60,13.242306883034,20250512,13.242306883033693,13.242306883033693,1.0,inside,True
2040003909,2040002610,2040002609,성남대로,3,103,000,5,60,12.082848798405,20250512,12.082848798404836,12.082848798404836,1.0,inside,True
2040003910,2040003015,2040003014,성남대로,3,103,000,5,60,12.139106435861,20250512,12.139106435860862,12.139106435860862,1.0,inside,True
2040003911,2040002614,2040002613,성남대로,3,103,000,5,60,12.000956955237,20250512,12.000956955236529,12.000956955236529,1.0,inside,True
2040003913,2049180700,2040002606,성남대로,3,103,000,5,60,333.768158133024,20250512,333.76815813302386,333.76815813302386,1.0,inside,True
2040003914,2049201000,2040003011,성남대로,3,103,000,5,60,320.310940090539,20250512,320.3109400905386,320.3109400905386,1.0,inside,True
2040004001,2040002603,2049180600,성남대로,3,103,000,5,60,333.826105203488,20250512,333.82610520348817,333.82610520348817,1.0,inside,True
2040004002,2040002611,2040002608,성남대로,3,103,000,5,60,228.82829558459,20250512,228.82829558458994,228.82829558458994,1.0,inside,True
2040004003,2040002607,2040003009,성남대로,3,103,000,5,60,374.659400217601,20250512,374.65940021760116,374.65940021760116,1.0,inside,True
2040004004,2040003008,2040003017,성남대로,3,103,000,5,60,249.950864088308,20250512,249.95086408830775,249.95086408830775,1.0,inside,True
2040004005,2040003016,2040003013,성남대로,3,103,000,5,60,382.345559999205,20250512,382.34555999920497,382.34555999920497,1.0,inside,True
2040004006,2040003012,2040003005,성남대로,3,103,000,5,60,207.860477591058,20250512,207.8604775910581,207.8604775910581,1.0,inside,True
2040004007,2040003005,2040003004,성남대로,3,103,000,5,60,12.180154509073,20250512,12.180154509073041,12.180154509073041,1.0,inside,True
2040004008,2040003009,2040003008,성남대로,3,103,000,5,60,12.095876181602,20250512,12.095876181601797,12.095876181601797,1.0,inside,True
2040004009,2040002608,2040002607,성남대로,3,103,000,5,60,12.082780083324,20250512,12.082780083324316,12.082780083324316,1.0,inside,True
2040004010,2040003013,2040003012,성남대로,3,103,000,5,60,12.139179868997,20250512,12.139179868997429,12.139179868997429,1.0,inside,True
2040004011,2040002612,2040002611,성남대로,3,103,000,5,60,12.001125587831,20250512,12.001125587831234,12.001125587831234,1.0,inside,True
2040004012,2040003017,2040003016,성남대로,3,103,000,5,60,12.013980871995,20250512,12.013980871994926,12.013980871994926,1.0,inside,True
2040004013,2049180600,2040002612,성남대로,3,103,000,5,60,333.826105203447,20250512,333.82610520344656,333.82610520344656,1.0,inside,True
2040004100,2040002804,2049173300,수정로,342,106,000,3,50,453.000247604671,20250512,453.00024760467124,453.00024760467124,1.0,inside,True
2040004101,2040002714,2040002713,수정로,342,106,000,3,50,13.365303255392,20250512,13.365303255392087,13.365303255392087,1.0,inside,True
2040004102,2049173300,2040002714,수정로,342,106,000,3,50,431.292220734585,20250512,431.29222073458476,431.29222073458476,1.0,inside,True
2040004200,2040002711,2049173200,수정로,342,106,000,3,50,438.635430098369,20250512,438.635430098369,438.635430098369,1.0,inside,True
2040004201,2040002803,2040002802,수정로,342,106,000,3,50,12.115021231078,20250512,12.115021231077451,12.115021231077451,1.0,inside,True
2040004202,2049173200,2040002803,수정로,342,106,000,3,50,438.635430098484,20250512,438.635430098484,438.635430098484,1.0,inside,True
2040004303,2040002714,2049178100,헌릉로,342,106,000,3,50,474.871778542406,20250512,474.87177854240554,474.87177854240554,1.0,inside,True
2040004304,2040002710,2040002901,헌릉로,342,106,000,3,50,165.360506129852,20250512,165.36050612985173,165.36050612985173,1.0,inside,True
2040004306,2040002901,2040002904,헌릉로,342,106,000,3,50,12.022488146549,20250512,12.022488146549371,12.022488146549371,1.0,inside,True
2040004307,2040002707,2040002710,헌릉로,342,106,000,3,50,12.016499459958,20250512,12.016499459957553,12.016499459957553,1.0,inside,True
2040004308,2040002711,2040002714,헌릉로,342,106,000,3,50,11.423751921375,20250512,11.423751921374803,11.423751921374803,1.0,inside,True
2040004309,2049178100,2040002707,헌릉로,342,106,000,3,50,476.693957417291,20250512,476.6939574172909,476.6939574172909,1.0,inside,True
